"filename", "language", "JavaScript", "XML", "CSS", "SCSS", "comment", "blank", "total"
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/App.css", "CSS", 0, 0, 183, 0, 19, 26, 228
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/App.js", "JavaScript", 21, 0, 0, 0, 6, 12, 39
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/App.test.js", "JavaScript", 7, 0, 0, 0, 0, 2, 9
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/Toast.css", "CSS", 0, 0, 29, 0, 0, 4, 33
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/AWS-SDK/UploadImage.js", "JavaScript", 26, 0, 0, 0, 0, 9, 35
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/Checkout/CartItem.js", "JavaScript", 45, 0, 0, 0, 0, 5, 50
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/Checkout/CheckoutComponent.js", "JavaScript", 17, 0, 0, 0, 0, 5, 22
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/Checkout/ViewCart.js", "JavaScript", 87, 0, 0, 0, 25, 18, 130
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/Header/Header.js", "JavaScript", 77, 0, 0, 0, 8, 21, 106
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/ItemForm/AddItem.js", "JavaScript", 25, 0, 0, 0, 0, 6, 31
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/ItemForm/AdminSettings.js", "JavaScript", 73, 0, 0, 0, 3, 18, 94
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/ItemForm/EditItem.js", "JavaScript", 73, 0, 0, 0, 2, 13, 88
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/ItemList/Home.js", "JavaScript", 63, 0, 0, 0, 16, 21, 100
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/Stripe/CardSection.js", "JavaScript", 33, 0, 0, 0, 0, 2, 35
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/Stripe/CheckoutForm.js", "JavaScript", 42, 0, 0, 0, 2, 7, 51
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/Toast.js", "JavaScript", 37, 0, 0, 0, 0, 4, 41
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/User/Auth.js", "JavaScript", 106, 0, 0, 0, 7, 25, 138
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/User/auth.scss", "SCSS", 0, 0, 0, 12, 0, 1, 13
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/components/ViewItem.js", "JavaScript", 177, 0, 0, 0, 40, 44, 261
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/dux/cartReducer.js", "JavaScript", 97, 0, 0, 0, 51, 14, 162
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/dux/itemReducer.js", "JavaScript", 37, 0, 0, 0, 1, 5, 43
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/dux/store.js", "JavaScript", 15, 0, 0, 0, 32, 4, 51
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/dux/userReducer.js", "JavaScript", 56, 0, 0, 0, 1, 10, 67
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/index.css", "CSS", 0, 0, 12, 0, 0, 2, 14
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/index.js", "JavaScript", 27, 0, 0, 0, 30, 7, 64
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/localStorage.js", "JavaScript", 19, 0, 0, 0, 0, 1, 20
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/logo.svg", "XML", 0, 1, 0, 0, 0, 0, 1
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/routes.js", "JavaScript", 24, 0, 0, 0, 27, 2, 53
"/Users/chadbasinger/devmountain/unit-7/graceandblooms/src/setupTests.js", "JavaScript", 1, 0, 0, 0, 4, 1, 6
"Total", "-", 1197, 1, 224, 12, 274, 291, 1999